# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
Berserk;SLPM-65688, SLPM-65686 (Limited Edition), SLKA-25213 (Korea), SLPM-65618 (As a bonus demo disc to Vampire Panic LE), SLPM-61091 (Trial)
Beta Bloc;SLES-54789
Beverly Hills Cop;SLES-54456
Beyond Good & Evil;SLUS-20763, SLUS-20763GH (Greatest Hits), SLUS-29082 (Demo) SLES-51917
Biathlon 2008;SLUS-21711 SLES-54937 (Germany), SLES-54938
Big Bass;SLPM-62389 (SuperLite 2000 Tsuri)
Big Idea's Veggie Tales: LarryBoy and the Bad Apple;SLUS-21440 SLES-54536 (Italy)
Big Mutha Truckers;SLUS-20605, SLUS-20291 SLES-51355 SLPM-62378
Big Mutha Truckers 2;SLUS-21086 SLES-52980
Biker Mice from Mars;SLUS-21578 SLES-54319
Bikkuri Mouse;SCPS-11004
Billy the Wizard: Rocket Broomstick Racing;SLES-53736
Binchou-Tan: Shiawasegoyomi;SLPS-25659, SLPS-25658 (Limited Edition)
BioHazard Code: Veronica Kanzenhan / BioHazard 4 Value Pack;CPCS-01052
BioHazard: 5th Anniversary Package;SLPM-86770, SLPM-65024 (Disc 1), SLPM-65025 (Disc 2)
Bionicle;SLUS-20818 SLES-51956
Bionicle Heroes;SLUS-21428 SLES-54150 SLPM-66645
Bistro Cupid 2;SLPM-65348, SLPM-65347 (Limited Edition)
Black;SLUS-21376, SLUS-21376GH (Greatest Hits), SLUS-29180 (Demo) SLES-53886, SLES-54030, SLED-53937 (Demo), SLES-53886/P (Platinum: The Best of PlayStation 2), SLES-54030-P (Platinum, Platinum: The Best of PlayStation 2) SLPM-66354, SLPM-66731 (EA Best Hits), SLPM-66961 (EA:SY! 1980), SLAJ-25078
Black & Bruised;SLUS-20506, SLUS-29045 (Regular Demo), SLUS-28027 (Trade Demo) SLES-51620
Black Cat;SLPM-66289, CPCS-01019 (Limited Pack)
Black Market Bowling;SLES-53317
Black/Matrix II;SLPS-20187, SLPS-20299 (Best Hen)
Blade II;SLUS-20360 SLES-51013, SLES-51014
Blazing Souls;SLPM-66270, SLPM-66269 (Limited Edition), SLKA-25384
Bleach: Blade Battlers;SCPS-15116, SCPS-19329 (PlayStation 2 the Best)
Bleach: Blade Battlers 2nd;SCPS-15119
Bleach: Erabareshi Tamashii;SCPS-15087, SCPS-19331 (PlayStation 2 the Best), SCAJ-20140
Bleach: Hanatareshi Yabou;SCPS-15101, SCPS-19330 (PlayStation 2 the Best), SCAJ-20165
Blitz: The League;SLUS-21128, SLUS-21128GH (Greatest Hits)
Blokus Club with Bumpy Trot;SLPS-20443
Blood Omen 2;SLUS-20024 SLES-50772, SLES-50771, SLES-50815
Blood Will Tell;SLUS-20782 SLES-52755 SLPM-65526, SLKA-25225 (Korea), SLPM-66207 (Sega The Best 2800), SCAJ-25047, SLAJ-25047, SLPM-60248 (Trial)
Blood+ One Night Kiss;SLPS-25677
Blood+ Souyoku no Battle Rondo;SCPS-15112
Blood: The Last Vampire (First Volume);SCPS-15007 (Joukan), PAPX-90206 (Demo, Trailer Disc)
Blood: The Last Vampire (Last Volume);SCPS-15008 (Gekan)
BloodRayne;SLUS-20461, NPUD-20461 (PS2 Classics) SLES-51474 SLPM-65665
BloodRayne 2;SLUS-20862, NPUD-20862 (PS2 Classics) SLES-53831, SLES-53832
Bloody Roar 3;SLUS-20212 SLES-50203 SLPM-62055, SLPM-62133 (Hudson the Best), SLPM-60136 (Trial)
Bloody Roar 4;SLUS-20795 SLES-51877 SLKA-25130 (Korea), SLPM-65499
BlowOut;SLUS-20850, NPUD-20850 SLES-52989
BMX XXX;SLUS-20415 SLES-51365, SLES-50880
Board Games Gallery (10 Games);SLES-52714 (10 Games)
Bob the Builder;SLES-54825, SLES-54899, SLES-54656 (Bundled with EyeToy), SLES-54900, SLES-54923 (Bundled with EyeToy)
Bob the Builder: Festival of Fun;SLES-54981, SLES-54982
Boboboubo Boubobo;SLPM-65262, SLPM-65912 (Hudson the Best)
Boboboubo Boubobo: Shuumare! Taikan Boubobo;SLPM-62572, SLPM-62565 (w/EyeToy)
Bode Miller Alpine Skiing;SLUS-21381 SLES-53867
Boku no Natsuyasumi 2: Umi no Bouken Hen;SCPS-15026, SCPS-19209 (PlayStation 2 the Best), SCPS-19303 (PlayStation 2 the Best Reprint)
Boku wa Chiisai;SLPS-20208, SLPS-20304 (Best Collection)
Bokura no Kazoku;SCPS-15088
Bolt;SLUS-21844 SLES-55428, SLES-55430, SLES-55429, SLES-55431
Bombastic;SLUS-20764 SLES-51966 SCPS-15029, SCKA-20001 (Korea), SCAJ-20007, SCCS-40004, PAPX-90229 (Trial Version)
Bomberman Hardball;SLES-53301 SLPM-62503
Bomberman Jetters;SLPM-65218, SLPM-65485 (Hudson the Best)
Bomberman Kart;SLES-51302 SLPM-62118, SLPM-62311 (Hudson the Best)
Bomberman Kart DX;SLPM-62478, SLPM-62599
Bomberman Land 2;SLPM-62291, SLPM-74101 (PlayStation 2 the Best)
Bomberman Land 3;SLPM-62643, SLPM-62763 (Hudson the Best)
Bonus Demo 10;SCED-53513, SCED-53514, SCED-53515
Bonus Demo 11;SCED-54338 (Teen: Bonus Demo 11), SCED-54101, SCED-54102 (Mature: Bonus Demo 11m), SCED-54105 (AKA Retail Demo 11)
Bonus Demo 12;SCED-54399 (Teen: Bonus Demo 12), SCED-54397, SCED-54398 (Mature: Bonus Demo 12m)
Bonus Demo 4;SCED-51486
Bonus Demo 5;SCED-51940, SCED-51941
Bonus Demo 6;SCED-52390, SCED-52391
Bonus Demo 7;SCED-52436
Bonus Demo 8;SCED-52932, SCED-52933, SCED-53018 (Geu)
Bonus Demo 9;SCED-53116, SCED-53117
Boogie;SLUS-21681 SLES-55007
Bouken Jidai Katsugeki Goemon;SLPM-65014, VW023-J2, SLPM-65066 (Konami the Best), SLPM-65617 (Konami Dendou Collection), VW023-J4 (Konami Dendou Collection)
Bouken Shounen Club Gahou;SLPS-25279
Bouken-Ou Beet: Darkness Century;SLPS-25470, SLPM-61116 (Trial)
Boukoku no Aegis 2035: Warship Gunner;SLPM-66060, SLPM-66529 (Koei the Best), SLPM-66939 (Koei Teiban Series)
Bratz: Forever Diamondz;SLUS-21470 SLES-54342, SLES-54343, SLES-54344, SLES-54343-P (Platinum: The Best of PlayStation 2)
Bratz: Girlz Really Rock;SLUS-21791 SLES-55359, SLES-55358, SLES-55356, SLES-55357
Bratz: Rock Angelz;SLUS-21225 SLES-53574, SLES-53575, SLES-53576, SLES-53577, SLES-53578, SLES-53582, SLES-53583
Bratz: The Movie;SLUS-21643 SLES-54986, SLES-54989, SLES-54988
Brave Story;SCPS-15111
Brave: The Search for Spirit Dancer;SLUS-21127 SCES-51635
Bravo Music: Chou-Meikyokuban;SCPS-11023, SCPS-11019 (Limited Edition, with Otostaz)
Bravo Music: Christmas Edition;SCPS-11017, PCPX-96511 (Demo, Video disc)
Breath of Fire: Dragon Quarter;SLUS-20499 SLES-51496 SLPM-65196, SLPM-74410 (PlayStation 2 the Best), SLKA-25100, NPJD-00116 (PS2 Classics)
Breeders' Cup World Thoroughbred Championships;SLUS-21195
Brian Lara International Cricket 2005;SLES-52717, SLES-53058, SLED-53365 (Demo)
Brian Lara International Cricket 2007;SLES-54230, SLES-54231, SLES-54231-P (Platinum: The Best of PlayStation 2)
Britney's Dance Beat;SLUS-20402 SLES-50946, SLES-50947, SLES-50948 SLPM-65174
Broken Sword: The Sleeping Dragon;SLES-51978, SLES-51557, SLES-52015 SLPS-25356
Brothers in Arms: Earned in Blood;SLUS-21310 SLES-53659, SLED-53711 (Demo) SLPM-66410, SLPM-66708 (Ubisoft Best)
Brothers in Arms: Road to Hill 30;SLUS-21163, SLUS-21163GH (Greatest Hits) SLES-52888 SLPM-66042, SLKA-25277, SLPM-66568 (Ubisoft Best)
Brunswick Pro Bowling;SLUS-21566 SLES-54588
Buffy the Vampire Slayer: Chaos Bleeds;SLUS-20566 SLES-51890
Bujingai: The Forsaken City;SLUS-20895 SLES-52495 SLPM-65459, TCPS-10079, SLKA-25150 (Korea), SCAJ-20056, SLPM-60211 (Trial)
Bully;SLUS-21269, SLUS-21269P (Collector's Edition), SLUS-21269GH (Greatest Hits), NPUD-21269 (PS2 Classics) SLES-53561, NPED-00233 (PS2 Classics), SLES-53561/P SLPS-25879, SLPS-25950 (Best of Bethesda), NPJD-00051 (PS2 Classics)
Burnout;SLUS-20307, SLUS-28006 (Trade Demo) SLES-50445, SLES-50445-P, SLED-50617 (Demo)
Burnout 2: Point of Impact;SLUS-20497 SLES-51044, SLES-52968, SLED-51211 (Demo), SLES-51044-P SLPS-25351, SLKA-25039
Burnout 3: Takedown;SLUS-21050, SLUS-21050GH (Greatest Hits), SLUS-29113 (Demo) SLES-52584, SLES-52585, SLES-52585-P (Platinum), SLES-52584-P (The Best of PlayStation 2), SLED-52597 (Demo) SLKA-25206 (Korea), SLPM-65719, SLPM-65958 (EA Best Hits), SLPM-66962 (EA:SY! 1980), SLAJ-25053, SLPM-60246 (Trial)
Burnout Anthology;SLUS-27013
Burnout Dominator;SLUS-21596 SLES-54627, SLES-54681 SLPM-66739, SLPM-55036 (EA:SY! 1980), SLAJ-25094
Burnout Revenge;SLUS-21242, SLUS-21242GH (Greatest Hits), SLUS-29153 (Demo) SLES-53507, SLES-53506, SLES-53507/P, SLED-53512 (Demo) SLPM-66108, SLKA-25304 (Korea), SLPM-66652 (EA Best Hits), SLPM-55004 (EA:SY! 1980), SLAJ-25066
Busin 0: Wizardry Alternative Neo;SLPM-65378, SLPM-65876 (Atlus Collection), SLKA-25221 (Korea), SLPM-61060 (Demo, Taikenban)
Busou Renkin;SLPS-25764, SLPS-25877 (Best Collection)
Butt Ugly Martians: Zoom or Doom!;SLUS-20527 SLES-51060
Buzz! Brain of the UK;SCES-53385, SCES-55385, SCES-55386, SCES-55387, SCES-55388, SCES-55389, SCES-55419, SCES-55421, SCES-55423, SCES-55425
Buzz! De Slimste van Nederland;SCES-55420
Buzz! Junior: Ace Racers;SCES-55210, SCES-55211, SCED-55432 (Demo)
Buzz! Junior: Dino Den;SCES-54749, SCES-54750 (Bundled with Buzz! Buzzers)
Buzz! Junior: Jungle Party;SCUS-97602, SCUS-97596 (w/Buzzers) SCES-54219, SCES-54220, SCES-54524
Buzz! Junior: Monster Rumble;SCES-54703 (Bundled with Buzz! Buzzers), SCES-54625
Buzz! Junior: Robo Jam;SCUS-97634, SCUS-97597 (w/Buzzers) SCES-54701, SCES-54676
Buzz! Junior: Robo Jam & Buzz! Junior: Jungle Party;SCED-54808
Buzz! Pop Quiz;SCES-55093, SCES-55094, SCES-55095 (Spain, Portugal), SCES-55096 (Scandinavia), SCES-55097 (Finland), SCES-55098 (Bundled with Buzz! Buzzers), SCES-55100 (Australia)
Buzz! The BIG Quiz;SCES-53883 (Bundled with Buzz! Buzzers), SCES-53884 (Bundled with Buzz! Buzzers), SCES-53882, SCES-53881, SCES-53880, SCES-53925, SCES-53879 (Bundled with Buzz! Buzzers), SCES-53926, SCES-53927, SCES-53929, SCES-54071, SCES-54073
Buzz! The Hollywood Quiz;SCUS-97633 (Bundled with Buzz! Buzzers), SCUS-97594 (w/Buzzers) SCES-54848 (Bundled with Buzz! Buzzers), SCES-54845 (Bundled with Buzz! Buzzers), SCES-54844, SCES-54851 (Bundled with Buzz! Buzzers), SCES-54852
Buzz! The Mega Quiz;SCUS-97601, SCUS-97592 (with buzzers) SCES-54496, SCES-54497, SCES-54498, SCES-54499, SCES-54500 (Bundled with Buzz! Buzzers), SCES-54501, SCES-54503, SCES-54505, SCES-54507, SCES-54556, SCES-54689 (Bundled with Buzz! Buzzers)
Buzz! The Music Quiz;SCES-53304 (Bundled with Buzz! Buzzers), SCES-53305 (Bundled with Buzz! Buzzers), SCES-53307 (Bundled with Buzz! Buzzers), SCES-53308 (Bundled with Buzz! Buzzers), SCES-53663 (Bundled with Buzz! Buzzers), SCES-53669
Buzz! The Schools Quiz;SCES-54941, SCES-55213 (Bundled with Buzz! Buzzers)
Buzz! The Sports Quiz;SCES-54258, SCES-54259 (Bundled with Buzz! Buzzers), SCES-54260, SCES-54261, SCES-54262 (Bundled with Buzz! Buzzers), SCES-54263, SCES-54264, SCES-54265, SCES-54266 (Bundled with Buzz! Buzzers), SCES-54267, SCES-54268, SCES-54269
C@M-Station;SLPS-20418, SLPS-20406 (w/ EyeToy)
Cabela's - Legendary Adventures;SLUS-21789
Cabela's African Safari;SLUS-21379 SLES-54655
Cabela's Alaskan Adventures;SLUS-21384 
Cabela's Big Game Hunter;SLUS-20534, SLUS-20534GH (Greatest Hits) SLES-51590
Cabela's Big Game Hunter 2005 Adventures;SLUS-21021 SLES-53107
Cabela's Big Game Hunter 2008;SLUS-21625 SLES-55103
Cabela's Dangerous Hunts;SLUS-20736, SLUS-20736GH (Greatest Hits) SLES-52106
Cabela's Dangerous Hunts 2;SLUS-21350 SLES-53885
Cabela's Dangerous Hunts 2009;SLUS-21841 SLES-55331
Cabela's Deer Hunt: 2004 Season;SLUS-20665
Cabela's Deer Hunt: 2005 Season;SLUS-21011
Cabela's Monster Bass;SLUS-21715
Cabela's North American Adventures;SLUS-21935
Cabela's Outdoor Adventures (2005);SLUS-21192 SLES-53749
Cabela's Outdoor Adventures (2009);SLUS-21906
Cabela's Trophy Bucks;SLUS-21624
Cafe Lindbergh: Summer Season;SLPM-65911, SLPM-65910 (SweetBox)
Cafe Little Wish: Mahou no Recipe;SLPM-65295, SLPM-65294 (Limited Edition)
Cake Mania: Baker's Challenge;SLUS-21764
Call of Duty 2: Big Red One;SLUS-21228, SLUS-21318 (Collector's Edition), SLUS-21228GH (Greatest Hits) SLES-53416, SLES-53416/P (Platinum), SLES-53415, SLES-53417, SLES-53722 (Collector's Edition), SLES-53415/P (Platinum: The Best of PlayStation 2), SLES-53417/P (Platinum) SLPM-66328, VW313-J1
Call of Duty 3;SLUS-21426, SLUS-21426GH (Special Edition, Greatest Hits) SLES-54167, SLES-54166, SLES-54168, SLES-54166/P (Platinum: The Best of PlayStation 2)
Call of Duty: Finest Hour;SLUS-20725, SLUS-20725GH (Greatest Hits) SLES-52782, SLES-52782/P (Platinum), SLES-52784, SLES-52783 SLPM-66159
Call of Duty: Legacy;SLUS-27012
Call of Duty: World at War - Final Fronts;SLUS-21746 SLES-55367, SLES-55369, SLES-55367/P (Platinum) 
Cambrian QTS: Kaseki ni Nattemo;SLPM-65448
Canaria;SLPS-25219 (New Best Collection)
Cancelled Games;SLUS-21188, SLUS-21468, SLUS-20699, SCUS-97498, SLUS-21146, SLUS-20466, SLUS-21747, SLUS-21247, SLUS-21875, SLUS-21411, SLUS-21651, SLUS-20813, SLUS-21371, SLUS-20526, SLUS-21169, SLUS-20972, SLUS-20798, SLUS-20897, SLUS-20444, SLUS-21056, SLUS-21226, SLUS-21472, SLUS-21249, SLUS-20600 SLPM-65007, SLPS-20089, SLPM-65859, SLPM-69001, SLPM-62089, SLPM-65188, SLPS-20189, SLPS-20049, SLPM-62024, SLPS-25885, SLPM-66650, SLPS-20148
Canvas;SLPS-25223 (New Best Collection), SLPM-65923 (Best Edition)
Canvas 2;SLPM-66265, SLPM-66264 (DX Pack)
Canvas 3: Tanshoku no Pastel;SLPM-55187, P-00007 (Limited Edition)
Capcom Classics Collection;SLUS-21316 SLES-53661 SLPM-66317, SLPM-66852 (Best Price)
Capcom Classics Collection Volume 2;SLUS-21473 SLES-54561
Capcom Fighting Evolution;SLUS-20950, NPUD-20950 (PS2 Classics) SLES-52854, SLES-52852 SLPM-65794, NPJD-00029 (PS2 Classics)
Capcom vs. SNK 2: Mark of the Millennium 2001;SLUS-20246, NPUD-20246 (PS2 Classics) SLES-50541, NPED-00270 (PS2 Classics) SLPM-65047, CPCS-01001 (Modem Pack), SLPM-67517 (Korea), SLPM-74402 (PlayStation 2 the Best), SLPM-74246 (PlayStation 2 the Best Reprint), CPCS-01040 (with Street Fighter III 3rd Strike Value Pack), NPJD-00015 (PS2 Classics)
Captain Scarlet;SLES-54471, SLES-54612 (Scandinavia)
Captain Tsubasa;SLPS-25691
Card Captor Sakura: Sakura-Chan to Asobo!;SLPS-20408
Cardinal Arc: Konton no Fuusatsu;SLPM-62365, SLPM-62699 (IF Collection)
Carmen Sandiego: The Secret of the Stolen Drums;SLUS-20849 SLES-52143
Carol Vorderman's Sudoku;SLUS-21495 SLES-54194, SLES-54193
Cars;SLUS-21151, SLUS-21151GH (Greatest Hits), NPUD-21151 SLES-53624, SLES-54004, SLES-54006, SLES-54007, SLES-54010, SLES-54011, SLES-54012, SLES-54015, SLES-54011/P (Platinum: The Best of PlayStation 2), SLES-54004/P (Platinum: The Best of PlayStation 2), SLES-53624-P (Platinum), SLES-54012/P (Platinum: The Best of PlayStation 2), SLES-54010/P (Platinum: The Best of PlayStation 2), SLES-54015/P (Platinum: The Best of PlayStation 2) SLPM-66462
Cars Mater-National Championship;SLUS-21637 SLES-55025, SLES-55027, SLES-55029, SLES-55028, SLES-55026, SLES-55030
Cars Race-O-Rama;SLUS-21883 SLES-55536
CART Fury Championship Racing;SLUS-20141 SLES-50267
Cart Kings;SCES-55649
Cartagra;SLPM-66231, SLPM-66230 (Limited Edition), SLPM-66586 (2800 Collection)
Cartoon Kingdom;SLES-53773
Cartoon Network Racing;SLUS-21438 SLES-54306
Carwash Tycoon;SLES-53922
Casino Challenge;SLES-52178
Casper and The Ghostly Trio;SLES-54383, SLES-54426, SLES-54435 (Australia)
Casper Spirit Dimensions;SLUS-20205 SLES-50647
Casper's Scare School;SLES-55074, SLES-54672
Castle Fantasia;SLPM-65899, SLPM-65898 (DX Pack)
Castle Fantasia: Arihato Senki;SLPM-66605, SLPM-66989 (Best Edition)
Castle Shikigami 2;SLUS-20962, NPUD-20962 (PS2 Classics) SLES-53518 SLPM-62461, TCPS-10080, TCPS-10081 (Limited Edition), SLKA-15003 (Korea), SLPM-62607 (Taito Best), TCPS-10112 (Taito Best)
Castlevania: Curse of Darkness;SLUS-21168 SLES-53755 SLPM-66175, VW295-J1, SLKA-25328 (Korea), SLPM-66668 (Konami the Best), VW295-J2 (Konami the Best)
Castlevania: Lament of Innocence;SLUS-20733, NPUD-20733 (PS2 Classics) SLES-52118 SLPM-65444, VW148-J1, SLPM-65406 (Limited Edition), VW187-J1 (Limited Edition), SLKA-25082 (Korea), SLPM-66325 (Konami Dendou Collection), VW148-J4 (Konami Dendou Collection), NPJD-00010 (PS2 Classics), SLPM-61062 (Shop Front Trial), VW148-J5 (Shop Front Trial)
Castleween;SLES-51249 SLPS-20280
Catwoman;SLUS-20992 SLES-52567
CaveMan Rock;SLES-54833
Cel Damage Overdrive;SLES-51554
ChainDive;SCPS-15054, SCAJ-20043, PAPX-90232 (Trial)
Champions of Norrath;SLUS-20565, SLUS-20565GH (Greatest Hits), SLUS-29088 (Demo) SLES-52325, SLES-52373
Champions: Return to Arms;SLUS-20973, SLUS-29126 (Demo) SLES-53039
Championship Manager 2006;SLES-53945
Championship Manager 2007;SLES-54320
Championship Manager 5;SLES-53027, SLES-53221 (France), SLES-53223, SLES-53224, SLES-53222
Chandragupta: Warrior Prince;SCES-55662
Chanter#: Kimi no Uta ga Todoitara;SLPM-66816
Chaos Field: New Order;SLPM-66176
Chaos Legion;SLUS-20695 SLES-51553 SLPM-65249, SLKA-25026 (Korea)
Chaos Wars;SLUS-21722 SLPM-66553
Charlie and the Chocolate Factory;SLUS-21246 SLES-53386
Charlie's Angels;SLES-51750
Charlotte's Web;SLES-54657, SLES-54809, SLES-54719
Check-i-TV;SCPS-11015, SCPS-11011 (Kyoukara Check! Pack)
Cheggers Party Quiz;SLES-54957
Chemist Tycoon;SLES-53921
Chenwen no Sangokushi;SLPS-20132
Cherry Blossom;SLPS-25444
Chess Challenger;SLES-51630
Chess Crusade;
Chessmaster;SLUS-20637 SLES-51504, SLES-51436
Choaniki: Sei Naru Protein Densetsu;SLPM-62403, SLPM-62360 (Memorial Trial Version, bundled w/ Akudaikan 2: Mousouden)
Chobits: Chiidake no Hito;SLPM-65255
Chocolat: Maid Cafe Curio;SLPM-66001, ALCH-00003 (Deluxe Edition)
Choro Q Works;SLPM-65724
ChoroQ;SLUS-20930, SLUS-28044 (Trade Demo) SLES-53140 SLPM-65326, SLPM-66250 (Atlus Best Collection)
Chou Battle Houshin & Houshin Engi 2 Premium Pack;SLPM-65210 (Chou Battle Houshin), SLPM-65211 (Houshin Engi 2)
Chou Gouka! Quiz Ketteiban;SLPM-65261, SLPM-65578 (Hudson the Best)
Chou! Rakushii Internet Tomodachi Nowa;SLPS-20127 (Broadband), SLPS-20149 (Type-OS), SLPS-20169 (Type-PG)
Chou-jikuu Yousai Macross;SLPM-65405
Chou-Saisoku! Zokusha King BU;SLPM-62486
Choukousoku Igo;SLPM-62037
Choukousoku Mahjong;SLPM-62038
Choukousoku Mahjong Plus;SLPM-62146
Choukousoku Reversi;SLPM-62036
Choukousoku Shogi;SLPM-62039
Chulip;SLUS-20742, NPUD-20742 (PS2 Classics) SLPS-20230, SLPS-20283 (Victor the Best), SLPS-20471 (Super Best Collection)
Chu~Kana Janshi;SLPS-25416, SLPS-25415 (Collector's Edition)
CID The Dummy;SLUS-21754 SLES-55079
Cinderella;SLES-54485
Cinema Surfing: Youga Taizen;SLPS-25073
Circuit Blasters;SLES-53090
Circus Maximus: Chariot Wars;SLES-50935
City Crisis;SLUS-20274 SLES-50364 SLPS-20101
City Soccer Challenge;SLES-53343
Clannad;SLPM-66981, SLPM-55178 (Best Version Premium Box), SLPM-55181 (Best Version), SLPM-66302
Classic British Motor Racing;SLES-53614
Clear: Atarashii Kaze no Fuku Oka de;SLPM-55136, PBGP-0076 (Limited Edition)
Clever Kids: Dino Land;SLES-54890
Clever Kids: Pony World;SLES-54891
Climax Tennis: WTA Tour Edition;SLPM-62129, VW057-J1
Clock Tower 3;SLUS-20633 SLES-51619 SLPM-65221, SLPM-74416 (Best Version, Cancelled), SLKA-25051
Clock Zero: Shuuen no Ichibyou;SLPM-55281, CZP2-01101 (Limited Edition)
Clover Heart's: Looking for Happiness;SLPS-25391, SLPS-25390 (Limited Edition), SLPM-66137 (Best Version)
Clover no Kuni no Alice;SLPM-55255
Club Football;SLES-51089, SLES-51086, SLES-51076, SLES-51088, SLES-51077, SLES-51080, SLES-51079, SLES-51085, SLES-51083, SLES-51423, SLES-51081, SLES-51100, SLES-51090, SLES-51078, SLES-51094, SLES-51082, SLES-51087, SLES-51084
Club Football 2005;SLES-52661, SLES-52654, SLES-52656, SLES-52657, SLES-52668, SLES-52667, SLES-52648, SLES-52665, SLES-52663, SLES-52647, SLES-52651, SLES-52655, SLES-52658, SLES-52660, SLES-52650, SLES-52652, SLES-52653, SLES-52662, SLES-52649, SLES-52659, SLES-52664, SLES-52666
Clumsy Shumsy;SLES-54518
Cluster Edge;SLPS-25654, SLPS-25653 (Limited Edition), SLPS-25794 (Best Collection)
CMT Presents: Karaoke Revolution Country;SLUS-21329
Cocoto Fishing Master;SLUS-21663 SLES-54548
Cocoto Funfair;SLES-53805
Cocoto Kart Racer;SLES-52858
Cocoto Platform Jumper;SLES-52523
Cocoto Tennis Master;
Code Age Commanders: Tsugu Mono Tsuga Reru Mono;SLPM-66109, SCAJ-20153
Code Breaker; 
Code Geass: Lelouch of the Rebellion: Lost Colors;SLPS-25860
Code Lyoko: Quest for Infinity;SLUS-21743 SLES-55172
Code of the Samurai;SLES-54615 SLPM-65823, SLPM-61101 (Trial)
Codename: Kids Next Door - Operation V.I.D.E.O.G.A.M.E.;SLUS-21155 SLES-53685, SLES-53812
Cold Fear;SLUS-21047 SLES-53158
Cold Winter;SLUS-20845 SLES-52963, SLES-53093, SLED-53327 (Demo)
Colin McRae Rally 04;SLES-51824, SLES-51824/P (Platinum)
Colin McRae Rally 2005;SLES-52636, SLES-52636/P (Platinum)
Colin McRae Rally 3;SLUS-20502 SLES-51117, SLES-51117/P (Platinum)
College Hoops 2K6;SLUS-21232
College Hoops 2K7;SLUS-21463
College Hoops 2K8;SLUS-21673
Coloball 2002;SLPS-20202, SLPS-20319 (Enterbrain Collection)
Colorful Aquarium: My Little Mermaid;SLPM-66805, SLPM-66804 (First Print Limited Edition)
Colorful Box: To Love;SLPM-65589, SLPM-65588 (Limited Edition), SLPM-66414 (2800 Collection)
Colorio: Hagaki Print;SLPS-20056
Colosseum: Road to Freedom;SLUS-21179 SLES-53356 SLPS-25456, EP2001, SLPM-66132 (Remix), EP2002, SLPM-66577 (Remix, Ertain Best), EP2003, SCAJ-20119
Combat Ace;SLES-53924
Combat Elite: WWII Paratroopers;SLUS-20715, SLUS-28054 (Trade Demo)
Combat Queen;SLPM-65169, TCPS-10054
Commandos 2: Men of Courage;SLUS-20086 SLES-50859, SLES-50829, SLES-50860, SLES-50927
Commandos Strike Force;SLUS-21103 SLES-52768, TLES-52768 (Online Beta Trial Disc v0.03) SLPM-66492
Conan;SLES-52451
Conflict Zone;SLUS-20240 SLES-50221
Conflict: Desert Storm;SLUS-20549, SLUS-20549GH (Greatest Hits) SLES-50901, SLES-50902 SLPM-65460
Conflict: Desert Storm II - Back to Baghdad;SLUS-20689 SLES-51523 SLPM-66000
Conflict: Global Terror;SLUS-21172 SLES-52573
Conflict: Vietnam;SLUS-21045 SLES-52630, SLES-52630-P
Conspiracy: Weapons of Mass Destruction;SLES-53098
Constantine;SLUS-21142 SLES-52872 SLPM-65972
Contra: Shattered Soldier;SLUS-20306, NPUD-20306 (PS2 Classics) SLES-51284 SLPM-62247, VW104-J1, SLPM-62361 (Konami the Best), VW104-J2 (Konami the Best), NPJD-00004 (PS2 Classics), SLPM-62264, SLPM-64551
Cool Boarders 2001;SCUS-97108, SCUS-97147 (Demo)
Cool Boarders Code Alien;SLPS-25022
Cool Shot;SLES-51785 SLPS-20256
Coraline;SLUS-21854 SLES-55470
Corvette;SLUS-20858 SLES-52219
Corvette Evolution GT;SLUS-21499, NPUD-21499 (PS2 Classics) SLES-53976, SLES-54254
Counter Terrorist Special Forces: Fire for Effect;SLES-53046 SLPM-66429
Countryside Bears;SLES-52291
Cowboy Bebop;SLPS-25550 (Limited Edition), SLPS-25551
CR Nettou Power Pro Kun Pachitte Chonmage Tatsujin;SLPS-20157
